${userID},${password},${first_name},${last_name},${email},${phone},${address},${city},${state},${zip},${country},${favouriteCategory}
jiji,jiji,ji,ji,jiji@mail.com,1234,ja,ja,1234,France
David.Joseph,@698KNzMyj,David,Joseph,David.Joseph@mail.com,+33 (0)4 94 83 52 45,"93, avenue de Traore",Nguyennec,Guatemala,Guatemala,Honduras,DOGS
Nathalie.Arnaud,n*4pQ%71@n,Nathalie,Arnaud,Nathalie.Arnaud@mail.com,01 72 16 04 97,"45, avenue de Fontaine",Pasquier,Maldives (iles),Maldives (iles),JamaÃ¯que,REPTILES
Virginie.Guilbert,lR5^6Bljvp,Virginie,Guilbert,Virginie.Guilbert@mail.com,+33 2 97 15 13 85,"528, chemin Verdier",Loiseau-sur-Lagarde,Saint-Marin (Rep. de),Saint-Marin (Rep. de),Gambie,FISH
Martine.Maillard,y72WA4h^$2,Martine,Maillard,Martine.Maillard@mail.com,+33 (0)5 82 16 16 75,"26, avenue Couturier",Saint Jacquelinenec,"""""",1234,Guinee Equatoriale,DOGS
Guy.Lefebvre,$KJHUZseF6,Guy,Lefebvre,Guy.Lefebvre@mail.com,+33 1 76 49 61 47,"28, rue Sebastien Joseph",Saint Arnaude,Boucher-sur-Mer,31601,Tokelau,CATS
Claudine.Le Goff,Zm9fYZYHH&,Claudine,Le Goff,Claudine.Le Goff@mail.com,01 78 57 87 10,"2, rue Roland Navarro",Sauvage,vivre,95502,Bhoutan,DOGS
Nath.Roussel,b)^8*jEsdj,Nath,Roussel,Nath.Roussel@mail.com,0582021436,"95, boulevard de Charles",Lebondan,type,85142,Chypre,REPTILES
Lorraine.Dias,@a3n0ZtuS8,Lorraine,Dias,Lorraine.Dias@mail.com,03 57 56 88 16,"451, chemin Blanc",Gros-la-Forêt,disposer,13284,Venezuela,REPTILES
Denise.Hardy,c02Q5A_m*%,Denise,Hardy,Denise.Hardy@mail.com,+33 (0)2 58 64 14 20,"67, rue Bertrand",Sainte MichelBourg,verite,56169,Polynesie francaise,BIRDS
Cameron.Guerra,%uC((qWe1#,Cameron,Guerra,Cameron.Guerra@mail.com,204-683-9182,53535 Alexis Forges Suite 626,New Amyland,choice,92270,Palau,DOGS
